// SR1 Audio Analyzer: 6/2/2023 11:40:46 AM

// Series: A1:FFT1:Power Spectrum A
// Units: Hz,V/rtHz
513.657941136579,4.39122458937552E-9
515.61101315611,3.92864303763656E-9
517.564085175641,3.87580398203505E-9
519.517157195172,3.57905933112138E-9
521.470229214702,3.51995848699908E-9
523.423301234233,3.98907683771723E-9
525.376373253764,4.86986034891182E-9
527.329445273294,5.00632129443493E-9
529.282517292825,4.62427265890386E-9
531.235589312356,5.22128708545716E-9
533.188661331887,5.66012932920594E-9
535.141733351417,5.04250555491541E-9
537.094805370948,4.21015145580106E-9
539.047877390479,3.24168725784585E-9
541.00094941001,2.51489775952154E-9
542.95402142954,2.53158407943728E-9
544.907093449071,2.78774156693387E-9
546.860165468602,3.17295165072881E-9
548.813237488132,3.42972869469443E-9
550.766309507663,3.20936445152393E-9
552.719381527194,2.87150820109839E-9
554.672453546725,3.06316977085016E-9
556.625525566255,3.64964612218936E-9
558.578597585786,3.9036364970704E-9
560.531669605317,3.89296757163323E-9
562.484741624847,4.59633334943945E-9
564.437813644378,5.75816421378771E-9
566.390885663909,5.95526448914725E-9
568.34395768344,5.29938641059757E-9
570.29702970297,5.0250889844579E-9
